,,,,,,,,,
KAMAK ASSOCIATES,,,,,,,,,
LIST OF Items   PERIOD FROM 01-04-2024 TO 14-10-2024,,,,,,,,,
,,,,,,,,,
S.No,Item Code,Item Name,Group,Brand,Model,MRP,Net Sal Qty,Close Qty,Close Val
1,AC1,AIR CONDITIONER,Primary,Primary,Primary,5000,,2,
2,OP-11-S,BATHSENSE OP-11-S SINGLE PIECE S TRAP 220MM,SANITARY,ESS ESS,Primary,9750,7,2,
3,OP-14-S,BATHSENSE OP-14-S SINGLE PIECE S TRAP 225MM,SANITARY,ESS ESS,Primary,9750,,3,
4,WT22,BOTTLE TRAP,CP,WATER-TEC,Primary,523,23,4,1195.2
5,CS04,CARYSIL BIG BOWL SINK NERA 24x18,SANITARY,CARYSIL,BIG BOWL,11550,14,2,12712.02
6,CS56B,CARYSIL CS56B BEETHOVEN ONLY BOWL MONTANA,SANITARY,CARYSIL,BEETHOVEN,10000,,1,4957.62
7,CS26,CARYSIL JAZZ SINK WITH DRAIN BOARD NERA 40x20,SANITARY,CARYSIL,JAZZ,16700,,1,10614.53
8,CS40,Carysil Jumbo Sink 31x19 Nera,SANITARY,CARYSIL,JUMBO,16050,1,1,8834.85
9,CS15,Carysil Sink Swan New Ascend Nera 34x20,SANITARY,CARYSIL,Swan New Ascend,14700,,1,9343.33
10,CS46C,CARYSIL SS ELEGANCE SINK 30*18*9 MATT FINISH,SANITARY,CARYSIL,ELEGANCE,13810,,2,9022.14
11,CS11A,Carysil  Swan Sink Nera 25x22,SANITARY,CARYSIL,SWAN,10000,,1,6356.01
12,CS35,CARYSIL VIVALDI SINK TWO BOWL NERA 34x20,SANITARY,CARYSIL,VIVALDI,16200,1,1,8072.02
13,CS32,"""CARYSIL WALTZ 780  SINK NERA 31""""x20""""""",SANITARY,CARYSIL,Walts 780,16275,,1,8961.93
14,ME01,Corner Clamp,Primary,Merit,Primary,80,18,23,1380.00
15,EN15,Ess Ess 1.5 Inch Nipple,CP,ESS ESS,Primary,110,4,26,1222.26
16,AC 102,ESS ESS AC 102 CROMA TOWEL RING,CP,ESS ESS,CROMA,1100,19,4,2080.00
17,AC 108,ESS ESS AC 108 CROMA TOWEL BRACKET  600mm,CP,ESS ESS,CROMA,4130,8,4,7425.6
18,AC-701,ESS ESS AC-701 DEON TOWEL RAIL,CP,ESS ESS,DEON,1030,17,4,1830.4
19,AC702,ESS ESS AC702  TOWEL RING,CP,ESS ESS,DEON,840,7,9,3510.00
20,AC-703,ESS ESS AC-703 DEON SOAP DISH,CP,ESS ESS,DEON,710,,3,978.93
21,AC-704,ESS ESS AC-704 DEON TUMBLER HOLDER,CP,ESS ESS,DEON,700,,5,1560.00
22,BHOH101,ESS ESS BHOH101 5 FLOW OVER HEAD SHOWER,CP,ESS ESS,Primary,1600,2,3,2301.00
23,C230C,"""Ess Ess C230c 3"""" Full Thread Waste Coupling""",CP,ESS ESS,Primary,400,21,11,1830.4
24,AC-103,ESS ESS CROMA AC-103 SOAP DISH,CP,ESS ESS,CROMA,950,2,4,1761.64
25,INPC101,ESS ESS INPC101 INVICTUS PILLAR COCK,CP,ESS ESS,INVICTUS,2200,,1,1018.1
26,P101,ESS ESS P101 PRIMUS PILLAR COCK,CP,ESS ESS,PRIMUS,990,19,5,2470.00
27,P103A,ESS ESS P103A PRIMUS TWO WAY BIB COCK,CP,ESS ESS,PRIMUS,1500,5,3,2215.32
28,P103,ESS ESS P103 PRIMUS BIB COCK with wall flange,CP,ESS ESS,PRIMUS,920,5,2,915.2
29,P105,ESS ESS P105 PRIMUS long body bib cock,CP,ESS ESS,PRIMUS,1130,9,7,4004.00
30,P112,Ess Ess P112 Primus ANGLE CLOCK WITH WF,CP,ESS ESS,PRIMUS,650,16,19,6202.93
31,P114,ESS ESS P114 PRIMUS WALL MOUNTED SINK COCK,CP,ESS ESS,PRIMUS,1630,,3,2418.00
32,PP-103,Ess Ess Pp-103 Primus Pro Bib Cock,CP,ESS ESS,PRIMUS PRO,1050,1,5,2223.95
33,PP-105,ESS ESS PP-105 PRIMUS PRO LONG BODY,CP,ESS ESS,PRIMUS PRO,1200,4,1,
34,PP-122,ESS ESS PP-122 PRIMUS PRO 2 IN 1 WALL MIXER,CP,ESS ESS,PRIMUS PRO,4400,2,5,
35,RF-202,"""ESS ESS RF-202 RFS SQUARE RAIN FALL SHOWER W/O ARM  4""""""",CP,ESS ESS,RFS SQUARE,1300,2,3,1872.00
36,RF-204,"""ESS ESS RF-204 RFS SQUARE RAIN FALL SHOWER W/O ARM  6""""""",CP,ESS ESS,RFS SQUARE,2000,7,7,7280.00
37,SA106N,"""ESS ESS SA106N ARM """"15"""""""" RFS arm square New""""""",CP,ESS ESS,ARM,2000,25,4,4160.00
38,SA-107N,"""ESS ESS SA-107 ROUND SHOWER ARM  18""""""",CP,ESS ESS,ROUND,1750,10,3,2730.00
39,WM-18-X,ESS ESS WM-18-X WASH BASIN 400X320X140,SANITARY,ESS ESS,Primary,1250,9,4,
40,SG16,"""EXTENSION NIPPLE 1 1/2""""""",CP,SANGAM,Primary,70,,10,461.9
41,SG70,FOAM FLOW,Primary,Primary,Primary,50,,2,
42,FF1,Foam Flow,Primary,Primary,Primary,50,1,2,
43,NW-017D,FUTRA NW-017D GRATING WITH HOLE 5*5,CP,FUTURA,Primary,200,10,6,684.00
44,NW003-003,FUTURA NW003-003 NEO GRATING SS15X15CMS (6X6),CP,FUTURA,Primary,620,15,6,
45,NW-006,FUTURA NW-006 COCKROACH TRAP,CP,FUTURA,Primary,550,31,1,313.5
46,TR 7552,GERMA TR 7552 PLAIN MIRROR 60X76CM,SANITARY,GERMA,Primary,2200,,1,
47,TR ACR LED 153,GERMA TR ACR LED 153  MIRROR 60X80CM,SANITARY,GERMA,Primary,12300,,1,
48,TR LED 004 A,GERMA TR LED 004 A LED MIRROR,SANITARY,GERMA,Primary,15000,,1,
49,TR LED 021,GERMA TR LED 021 LED MIRROR,SANITARY,GERMA,Primary,7600,,1,
50,TR LED 023,GERMA TR LED 023 LED MIRROR,SANITARY,GERMA,Primary,7600,,1,
51,TR LED 024,GERMA TR LED 024 LED MIRROR,SANITARY,GERMA,Primary,9600,,1,
52,TR LED 032,GERMA TR LED 032 LED MIRROR,SANITARY,GERMA,Primary,11000,,1,
53,TR LED 041,GERMA  TR LED 041 LED MIRROR,SANITARY,GERMA,Primary,9600,,1,
54,TR LED 141,GERMA TR LED 141 BLACK ALU FRAME MIRROR 60X60CM,SANITARY,GERMA,Primary,7700,,1,
55,TR LED 148,GERMA TR LED 148 GOLD ALU FRAME MIRROR 90X45CM,SANITARY,GERMA,Primary,7700,,1,
56,TR LED 151-A,GERMA TR LED 151-A TRANS MIRROR,SANITARY,GERMA,Primary,13800,,1,
57,TR LED 151-C,GERMA TR LED 151-C TRANS MIRROR,SANITARY,GERMA,Primary,14800,,1,
58,13252000,GROHE 13252000 CONTEMPORARY BATH SPOUT,G2,GROHE,CONTEMPORARY,1982,6,3,3747.45
59,13254000,GROHE 13254000 CONTEMPORARY BATH SPOUT WITH DIVERTOR,G3,GROHE,CONTEMPORARY,5050,,2,4979.06
60,13255001,GROHE 13255001(NEW) BAU COSMO BATH SPOUT,G2,GROHE,BAU COSMO,2266,4,3,4854.9
61,13390000,GROHE 13390000 BAU CONTEMPORARY BATH SPOUT,G2,GROHE,BAU CONTEMPORARY,3245,10,3,6289.32
62,20235000,GROHE 20235000 BAU FLOW BASIN BIB TAP,CP,GROHE,BAU FLOW,2850,,1,
63,20280000,GROHE 20280000 BAU FLOW BASIN BIB TAP 2-IN-1,G2,GROHE,BAU FLOW,3780,,1,2178.3
64,2201600M,GROHE 2201600M  ANGLE VALVE,G3,GROHE,Primary,1036,,4,16459.96
65,23425LS0,GROHE 23425LS0 EUD JOYSTICK OHM BASIN,G3,GROHE,JOY,56795,,1,7219.56
66,23462GL1,GROHE 23462GL1 ESSENCE SINGLE LEVER BASIN MIXER,G3,GROHE,Primary,30430,,1,9788.1
67,23962001,GROHE 23962001 BAU LOOP PILLAR COCK,CP,GROHE,BAU LOOP,8550,,1,
68,23971003,GROHE 23971003 EUROSMART OHM VESSAL BASIN SMTH B XL,SANITARY,GROHE,EURO SMART,22170,,1,5778.78
69,26089001,GROHE 26089001 TEMPESTA RUSTIC 100 HEAD SHOWER SET,G3,GROHE,TEMPESTA,6580,,1,3066.93
70,26267001,GROHE 26267001 N TEMPESTA HEAD SHOWER,G2,GROHE,N TEMPESTA,3369,,1,2277.98
71,26352000,GROHE 26352000  HEALTH FAUCET,G2,GROHE,NEW TEMPESTA,2065,71,9,11732.31
72,26479LS0,Grohe 26479ls0 Smartactive 310 Head Shower Set 400mm,G3,GROHE,Primary,0,,1,
73,26483000,Grohe 26483000 Smart Active Rough Inst Head Shower,G3,GROHE,SMART,23119.90,,1,
74,26663000,GROHE 26663000 TEMPESTA HEAD SHOWER ROUND 380MM,G3,GROHE,TEMPESTA,16000,,1,7457.61
75,27541001,Grohe 27541001 Tempasta Head Shower,G2,GROHE,TEMPESTA,9800,3,4,17410.2
76,27851000,GROHE 27851000 SHOWER ARM,G2,GROHE,NEW TEMPESTA,2750,4,3,2802.03
77,27869001,"""Grohe 27869001 Ntempcosmopolitan 100 Iv Headshw Set 9,5""",G2,GROHE,N-TEMPESTA COSMO,6580,,1,2625.00
78,27923001,GROHE 27923001 N TEMPESTA SHOWER,G2,GROHE,NEW TEMPESTA,2070,1,2,1753.7
79,29049000,GROHE 29049000  TWIN ELBOW,G3,GROHE,Primary,1410,,3,2130.3
